sleep_hours,steps,calories,water_intake_ml,stress_level,heart_rate_bpm,health_score,sleep_score,step_score,calorie_score,water_score,stress_score,hr_score,active_sleep_score,recovery_score,hydration_ratio,cardio_index,lifestyle_score,cal_per_1k_steps,sleep_per_stress,water_per_cal,sleep_hours_sq,stress_level_sq,steps_log,sleep_category,activity_category,stress_category
6.49,8109,2205,1676,9,67.8,64.18,77.35,81.08999999999999,89.75,55.86666666666667,11.11111111111111,89.56,62.723114999999986,8.594444444444443,760.0907029478458,72.62420399999999,67.45462962962962,271.9200887902331,0.7211111111111111,0.7600907029478458,42.1201,81,9.000853147109458,2.0,3.0,2.0
8.6,1905,2103,2171,5,91.6,62.67,91.0,19.05,94.85,72.36666666666667,55.55555555555556,46.720000000000006,17.3355,50.55555555555556,1032.3347598668568,8.900160000000001,63.25703703703704,1103.9370078740158,1.72,1.0323347598668569,73.96,25,7.552762084214147,3.0,0.0,1.0
5.29,8635,1793,937,7,76.9,54.34,59.35,86.35000000000001,89.65,31.233333333333334,33.33333333333333,73.17999999999999,51.24872500000001,19.78333333333333,522.5878416062466,63.19093,62.18277777777778,207.64331210191082,0.7557142857142857,0.5225878416062465,27.9841,49,9.063694791634697,1.0,3.0,2.0
7.01,10286,2303,1873,9,75.1,70.75,85.14999999999999,100.0,84.85,62.43333333333333,11.11111111111111,76.42000000000002,85.15,9.46111111111111,813.2870169344334,76.42000000000002,69.99407407407408,223.89655842893254,0.7788888888888889,0.8132870169344334,49.1401,81,9.23863624113103,3.0,4.0,2.0
10.9,7160,2156,2051,8,73.5,73.18,56.49999999999999,71.6,92.2,68.36666666666666,22.22222222222222,79.3,40.45399999999999,12.555555555555554,951.2987012987012,56.77879999999999,65.03148148148149,301.11731843575416,1.3625,0.9512987012987013,118.81,64,8.87640491500694,2.0,2.0,2.0
7.33,13450,2086,2071,7,92.9,67.77,89.95,100.0,95.7,69.03333333333333,33.33333333333333,44.37999999999999,89.95,29.98333333333333,992.8092042186003,44.37999999999999,72.0661111111111,155.09293680297398,1.0471428571428572,0.9928092042186002,53.7289,49,9.506808731708581,3.0,4.0,2.0
9.15,5356,1983,1803,8,54.8,63.72,82.75,53.559999999999995,99.15,60.099999999999994,22.22222222222222,87.03999999999999,44.320899999999995,18.38888888888889,909.2284417549167,46.61862399999999,67.47037037037036,370.23898431665424,1.14375,0.9092284417549168,83.72250000000001,64,8.58615939588096,2.0,2.0,2.0
7.14,8652,2172,1995,3,94.1,72.45,87.1,86.52,91.4,66.5,77.77777777777779,42.220000000000006,75.35891999999998,67.74444444444444,918.5082872928176,36.528744,75.25296296296297,251.04022191400836,2.38,0.9185082872928176,50.9796,9,9.06566136060674,3.0,3.0,0.0
7.87,7893,2092,3234,5,69.8,78.52,98.05,78.93,95.4,100.0,55.55555555555556,85.96000000000001,77.390865,54.47222222222223,1545.889101338432,67.848228,85.64925925925927,265.0449765615102,1.574,1.5458891013384322,61.9369,25,8.973858256222792,3.0,3.0,1.0
6.91,7699,2024,2597,4,55.1,71.94,83.65,76.99000000000001,98.8,86.56666666666666,66.66666666666666,87.58,64.402135,55.76666666666666,1283.102766798419,67.42784200000001,83.37555555555555,262.8912845824133,1.7275,1.283102766798419,47.7481,16,8.948975607841776,2.0,3.0,1.0
6.74,7657,1744,1864,8,63.0,61.84,81.1,76.57000000000001,87.2,62.133333333333326,22.22222222222222,98.2,62.09827,18.02222222222222,1068.8073394495414,75.19174000000001,71.23759259259259,227.7654433851378,0.8425,1.0688073394495412,45.427600000000005,64,8.943506132037239,2.0,3.0,2.0
5.83,8321,2678,2159,5,52.2,63.06,67.45,83.21,66.1,71.96666666666667,55.55555555555556,82.36,56.125145,37.47222222222223,806.1986557132188,68.531756,71.10703703703705,321.83631775027044,1.166,0.8061986557132188,33.9889,25,9.026657889542886,1.0,3.0,1.0
7.65,10544,1580,2183,10,79.8,66.18,94.75,100.0,79.0,72.76666666666667,0.0,67.96000000000001,94.75,0.0,1381.6455696202531,67.96000000000001,69.07944444444445,149.8482549317147,0.765,1.3816455696202532,58.52250000000001,100,9.263407092912875,3.0,4.0,2.0
5.72,12133,2171,1739,2,59.5,82.66,65.8,100.0,91.45,57.96666666666667,88.88888888888889,95.5,65.8,58.48888888888889,801.0133578995855,95.5,83.2675925925926,178.93348718371385,2.86,0.8010133578995855,32.718399999999995,4,9.403766708502243,1.0,4.0,0.0
8.0,7993,1872,1739,2,74.0,80.89,100.0,79.93,93.6,57.96666666666667,88.88888888888889,78.4,79.93,88.88888888888889,928.9529914529915,62.66512000000001,83.13092592592592,234.204929313149,4.0,0.9289529914529915,64.0,4,8.986446539271268,3.0,3.0,0.0
8.63,10446,2704,2806,8,85.6,74.79,90.54999999999998,100.0,64.8,93.53333333333333,22.22222222222222,57.52000000000001,90.54999999999998,20.122222222222216,1037.721893491124,57.52000000000001,71.4375925925926,258.8550641393835,1.07875,1.0377218934911243,74.47690000000001,64,9.254070134837509,3.0,4.0,2.0
7.55,5895,1639,1948,8,63.9,65.87,93.25,58.95,81.95,64.93333333333334,22.22222222222222,96.58,54.97087500000001,20.72222222222222,1188.529591214155,56.933910000000004,69.64759259259259,278.03223070398644,0.94375,1.188529591214155,57.0025,64,8.682029433869172,3.0,2.0,2.0
6.57,10298,1706,1543,7,68.8,68.32,78.55000000000001,100.0,85.3,51.43333333333333,33.33333333333333,87.76,78.55000000000001,26.183333333333334,904.4548651817116,87.76,72.72944444444444,165.66323557972422,0.9385714285714286,0.9044548651817116,43.1649,49,9.239802082125802,2.0,4.0,2.0
7.68,5714,1612,2174,4,56.4,73.46,95.19999999999999,57.14,80.6,72.46666666666667,66.66666666666666,89.92,54.397279999999995,63.466666666666654,1348.6352357320097,51.380288,76.99888888888889,282.1141057052852,1.92,1.34863523573201,58.9824,16,8.65084957622891,3.0,2.0,1.0
6.54,11272,2129,2271,1,67.3,86.84,78.1,100.0,93.55,75.7,100.0,90.46000000000001,78.1,78.1,1066.6979802724284,90.46,89.63499999999999,188.87508871540098,6.54,1.0666979802724283,42.7716,1,9.330165765044532,2.0,4.0,0.0
8.4,14632,1451,1016,4,102.9,72.46,94.0,100.0,72.55,33.86666666666667,66.66666666666666,26.37999999999998,94.0,62.66666666666666,700.2067539627842,26.37999999999998,65.57722222222223,99.1662110442865,2.1,0.7002067539627843,70.56,16,9.591034531092426,3.0,4.0,1.0
4.25,7634,1809,2176,5,81.3,70.15,43.75,76.34,90.45,72.53333333333333,55.55555555555556,65.26,33.39875,24.305555555555557,1202.8745163073522,49.819484,67.31481481481482,236.96620382499344,0.85,1.2028745163073522,18.0625,25,8.940498217652733,0.0,3.0,1.0
6.5,1422,1139,2721,5,68.8,59.97,77.5,14.219999999999999,56.95,90.7,55.55555555555556,87.76,11.0205,43.05555555555556,2388.937664618086,12.479472000000001,63.78092592592592,800.9845288326302,1.3,2.388937664618086,42.25,25,7.260522598089852,2.0,0.0,1.0
4.01,6356,2096,2471,10,64.7,49.76,40.15,63.56,95.2,82.36666666666666,0.0,95.14,25.519340000000003,0.0,1178.912213740458,60.470984,62.736111111111114,329.76714915040907,0.40099999999999997,1.178912213740458,16.080099999999998,100,8.757311846936409,0.0,2.0,2.0
4.76,11696,1800,3538,9,71.5,67.08,51.4,100.0,90.0,100.0,11.11111111111111,82.9,51.4,5.711111111111111,1965.5555555555554,82.9,72.5685185185185,153.8987688098495,0.5288888888888889,1.9655555555555555,22.6576,81,9.367087677650707,0.0,4.0,2.0
9.05,9659,1405,2951,8,73.6,76.95,84.24999999999999,96.59,70.25,98.36666666666667,22.22222222222222,79.12,81.37707499999999,18.722222222222218,2100.355871886121,76.422008,75.13314814814815,145.46019256651826,1.13125,2.100355871886121,81.90250000000002,64,9.175748927206564,2.0,3.0,2.0
8.34,8747,2434,3069,1,67.0,92.87,94.9,87.47,78.3,100.0,100.0,91.0,83.00903,94.9,1260.8874281018898,79.59769999999999,91.94500000000001,278.2668343432034,8.34,1.2608874281018898,69.5556,1,9.076580381796658,3.0,3.0,0.0
5.92,11026,1477,3880,2,78.4,76.66,68.8,100.0,73.85,100.0,88.88888888888889,70.47999999999999,68.8,61.155555555555544,2626.946513202437,70.47999999999999,83.66981481481481,133.95610375476147,2.96,2.626946513202437,35.0464,4,9.308102089758679,1.0,4.0,0.0
4.75,9453,2319,2655,5,60.6,67.2,51.25,94.53,84.05,88.5,55.55555555555556,97.48,48.446625000000004,28.47222222222222,1144.8900388098318,92.147844,78.56092592592593,245.31894636623295,0.95,1.1448900388098318,22.5625,25,9.154193211353181,0.0,3.0,1.0
3.0,11653,1720,2298,7,60.5,60.74,25.0,100.0,86.0,76.6,33.33333333333333,97.3,25.0,8.333333333333332,1336.046511627907,97.3,69.70555555555556,147.60147601476015,0.42857142857142855,1.336046511627907,9.0,49,9.363404747703019,0.0,4.0,2.0
6.18,10758,2641,2784,7,76.4,73.07,72.69999999999999,100.0,67.95,92.80000000000001,33.33333333333333,74.07999999999998,72.69999999999999,24.233333333333327,1054.1461567588035,74.07999999999998,73.47722222222221,245.49172708681914,0.8828571428571428,1.0541461567588035,38.1924,49,9.283497892593909,2.0,4.0,2.0
10.63,12565,2300,1864,3,58.0,88.53,60.54999999999999,100.0,85.0,62.133333333333326,77.77777777777779,92.8,60.54999999999999,47.09444444444444,810.4347826086957,92.8,79.71018518518518,183.0481496219658,3.5433333333333334,0.8104347826086956,112.99690000000001,9,9.438750032962892,2.0,4.0,0.0
7.65,9076,1597,2265,2,80.7,84.71,94.75,90.75999999999999,79.85,75.5,88.88888888888889,66.34,85.99509999999998,84.22222222222223,1418.2842830306824,60.210184,82.6814814814815,175.9585720581754,3.825,1.4182842830306825,58.52250000000001,4,9.113499020526627,3.0,3.0,0.0
6.16,10716,1633,1811,4,71.8,74.99,72.4,100.0,81.65,60.36666666666667,66.66666666666666,82.36,72.4,48.26666666666666,1109.0018371096141,82.36,77.24055555555556,152.38895110115715,1.54,1.1090018371096142,37.9456,16,9.279586544712997,2.0,4.0,1.0
7.7,7079,2242,2439,8,50.1,69.04,95.5,70.78999999999999,87.9,81.3,22.22222222222222,78.58,67.60444999999999,21.22222222222222,1087.8679750223016,55.62678199999999,72.71537037037037,316.7113999152423,0.9625,1.0878679750223015,59.290000000000006,64,8.865029186687766,3.0,2.0,2.0
4.66,6196,1895,1809,10,73.3,48.97,49.900000000000006,61.96,94.75,60.3,0.0,79.66,30.918040000000005,0.0,954.6174142480211,49.357336,57.76166666666668,305.84247901872175,0.466,0.9546174142480212,21.715600000000002,100,8.731820582962108,0.0,2.0,2.0
6.55,13120,1932,1788,10,51.8,66.92,78.25,100.0,96.6,59.599999999999994,0.0,81.63999999999999,78.25,0.0,925.4658385093168,81.63999999999999,69.34833333333334,147.25609756097563,0.655,0.9254658385093167,42.902499999999996,100,9.481969279105716,2.0,4.0,2.0
7.15,8649,2509,2448,6,80.3,74.71,87.25,86.49,74.55,81.6,44.44444444444444,67.06,75.462525,38.77777777777778,975.6875249103228,58.000194,73.56574074074074,290.0913400393109,1.1916666666666667,0.9756875249103228,51.1225,36,9.065314599925925,3.0,3.0,1.0
6.87,10415,1701,2117,1,69.0,84.74,83.05,100.0,85.05,70.56666666666666,100.0,87.4,83.05,83.05,1244.5620223398,87.4,87.67777777777779,163.3221315410466,6.87,1.2445620223398002,47.1969,1,9.251098364448351,2.0,4.0,0.0
8.19,8371,2037,1043,10,94.2,60.97,97.15,83.71,98.15,34.766666666666666,0.0,42.03999999999999,81.324265,0.0,512.0274914089347,35.19168399999999,59.30277777777777,243.34010273563493,0.819,0.5120274914089347,67.0761,100,9.03264808356589,3.0,3.0,2.0
7.52,6240,2382,1327,2,84.9,75.61,92.8,62.4,80.9,44.233333333333334,88.88888888888889,58.77999999999999,57.907199999999996,82.48888888888888,557.0948782535684,36.67871999999999,71.33370370370369,381.7307692307692,3.76,0.5570948782535684,56.550399999999996,4,8.738895704934043,3.0,2.0,0.0
8.0,8033,2324,1512,3,59.3,77.62,100.0,80.33,83.8,50.4,77.77777777777779,95.14,80.33,77.77777777777779,650.6024096385543,76.425962,81.24129629629628,289.30661023278975,2.6666666666666665,0.6506024096385542,64.0,9,8.991437814919227,3.0,3.0,0.0
5.97,12308,1936,1670,10,47.8,61.39,69.55,100.0,96.8,55.666666666666664,0.0,74.44,69.55,0.0,862.603305785124,74.44,66.07611111111112,157.29606759831003,0.597,0.862603305785124,35.640899999999995,100,9.418085981110297,1.0,4.0,2.0
8.35,9666,1884,2449,6,62.9,84.46,94.75,96.66,94.2,81.63333333333334,44.44444444444444,98.38,91.58535,42.111111111111114,1299.8938428874735,95.09410799999999,85.0112962962963,194.90999379267535,1.3916666666666666,1.2998938428874736,69.7225,36,9.176473302464606,3.0,3.0,1.0
9.44,2866,1304,2331,2,57.3,73.73,78.4,28.660000000000004,65.2,77.7,88.88888888888889,91.53999999999999,22.469440000000006,69.6888888888889,1787.5766871165642,26.235364,71.73148148148147,454.9895324494068,4.72,1.7875766871165644,89.11359999999999,4,7.96102146588337,2.0,1.0,0.0
5.54,7354,1578,2839,6,93.9,61.27,63.1,73.54,78.9,94.63333333333334,44.44444444444444,42.57999999999999,46.403740000000006,28.044444444444444,1799.1128010139416,31.313331999999996,66.19962962962963,214.57710089747076,0.9233333333333333,1.7991128010139417,30.6916,36,8.903135633035538,1.0,2.0,1.0
5.67,13347,2127,2652,1,71.9,85.19,65.05,100.0,93.65,88.4,100.0,82.17999999999999,65.05,65.05,1246.8265162200282,82.18,88.21333333333332,159.36165430433806,5.67,1.2468265162200283,32.1489,1,9.499121839871265,1.0,4.0,0.0
9.0,7359,1945,2843,4,83.2,84.67,85.0,73.59,97.25,94.76666666666667,66.66666666666666,61.839999999999996,62.551500000000004,56.66666666666666,1461.6966580976864,45.508055999999996,79.85222222222221,264.3022149748607,2.25,1.4616966580976865,81.0,16,8.903815211722922,3.0,2.0,1.0
6.71,2599,2030,2565,10,68.6,61.4,80.65,25.990000000000002,98.5,85.5,0.0,88.12,20.960935000000003,0.0,1263.5467980295568,22.902388000000002,63.126666666666665,781.0696421700653,0.671,1.2635467980295567,45.0241,100,7.8632667240095735,2.0,1.0,2.0
9.11,13679,2416,2326,3,69.8,91.15,83.35000000000001,100.0,79.2,77.53333333333333,77.77777777777779,85.96000000000001,83.35,64.8277777777778,962.748344370861,85.96,83.97018518518519,176.62109803348199,3.0366666666666666,0.9627483443708609,82.9921,9,9.523690191176541,2.0,4.0,0.0
6.34,10047,1525,2860,9,71.6,67.19,75.1,100.0,76.25,95.33333333333334,11.11111111111111,82.72000000000001,75.1,8.344444444444443,1875.409836065574,82.72000000000001,73.41907407407408,151.78660296605952,0.7044444444444444,1.8754098360655738,40.1956,81,9.21512888870798,2.0,4.0,2.0
9.18,7790,1906,2752,6,85.3,82.78,82.30000000000001,77.9,95.3,91.73333333333333,44.44444444444444,58.06,64.11170000000001,36.57777777777778,1443.8614900314797,45.22874000000001,74.9562962962963,244.6726572528883,1.53,1.4438614900314795,84.27239999999999,36,8.960724500330858,2.0,3.0,1.0
7.2,6886,2075,2426,7,75.7,71.04,88.0,68.86,96.25,80.86666666666666,33.33333333333333,75.33999999999999,60.5968,29.33333333333333,1169.156626506024,51.87912399999999,73.77499999999999,301.33604414754575,1.0285714285714287,1.169156626506024,51.84,49,8.837390855544697,3.0,2.0,2.0
7.39,11247,1718,2963,8,59.3,80.86,90.85,100.0,85.9,98.76666666666667,22.22222222222222,95.14,90.85,20.188888888888886,1724.6798603026775,95.14,82.14648148148147,152.7518449364275,0.92375,1.7246798603026776,54.6121,64,9.327945614050446,3.0,4.0,2.0
9.35,6374,2573,793,6,91.5,61.87,79.75,63.739999999999995,71.35,26.43333333333333,44.44444444444444,46.9,50.832649999999994,35.44444444444444,308.2005441119316,29.894059999999996,55.43629629629629,403.6711641041732,1.5583333333333333,0.3082005441119316,87.4225,36,8.760139370026627,2.0,2.0,1.0
6.46,11445,2363,2026,1,68.5,83.12,76.9,100.0,81.85,67.53333333333333,100.0,88.3,76.9,76.9,857.3846804909014,88.3,85.76388888888887,206.46570554827434,6.46,0.8573846804909014,41.7316,1,9.345395602969047,2.0,4.0,0.0
5.59,9627,2116,2017,10,66.5,62.43,63.849999999999994,96.27,94.2,67.23333333333333,0.0,91.9,61.468394999999994,0.0,953.2136105860113,88.47212999999999,68.9088888888889,219.7984834320141,0.5589999999999999,0.9532136105860114,31.248099999999997,100,9.172430798902962,1.0,3.0,2.0
6.33,8734,2718,2892,5,45.0,70.92,74.95,87.33999999999999,64.1,96.39999999999999,55.55555555555556,69.4,65.46133,41.63888888888889,1064.01766004415,60.61396,74.62425925925925,311.1976185024044,1.266,1.0640176600441502,40.0689,25,9.075093222568157,2.0,3.0,1.0
7.68,8437,1400,3143,7,79.6,70.68,95.19999999999999,84.37,70.0,100.0,33.33333333333333,68.32000000000001,80.32024,31.733333333333327,2245.0,57.64158400000001,75.20388888888888,165.93575915609816,1.0971428571428572,2.245,58.9824,49,9.040500592684284,3.0,3.0,2.0
4.65,7475,1997,1330,6,73.2,61.13,49.75000000000001,74.75,99.85,44.333333333333336,44.44444444444444,79.83999999999999,37.18812500000001,22.111111111111114,665.9989984977466,59.68039999999999,65.49462962962963,267.1571906354515,0.775,0.6659989984977466,21.622500000000002,36,8.919453168575453,0.0,2.0,1.0
7.96,11137,2147,3047,7,73.2,83.1,99.4,100.0,92.65,100.0,33.33333333333333,79.83999999999999,99.4,33.13333333333333,1419.1895668374477,79.83999999999999,84.20388888888888,192.78082068779742,1.1371428571428572,1.4191895668374477,63.3616,49,9.318117964149614,3.0,4.0,2.0
6.19,5404,1634,1497,4,67.2,67.78,72.85000000000001,54.04,81.7,49.9,66.66666666666666,90.64,39.368140000000004,48.56666666666667,916.1566707466341,48.981856,69.29944444444443,302.3686158401184,1.5475,0.916156670746634,38.316100000000006,16,8.595079730073309,2.0,2.0,1.0
8.72,3134,2120,1515,9,65.1,60.88,89.19999999999999,31.34,94.0,50.5,11.11111111111111,94.42000000000002,27.95528,9.91111111111111,714.622641509434,29.591228000000005,61.761851851851844,676.4518187619656,0.9688888888888889,0.714622641509434,76.03840000000001,81,8.050384453067021,3.0,1.0,2.0
3.41,9843,1557,2059,3,67.6,65.54,31.150000000000006,98.42999999999999,77.85,68.63333333333334,77.77777777777779,89.92000000000002,30.660945,24.22777777777778,1322.4149004495825,88.508256,73.96018518518518,158.18348064614446,1.1366666666666667,1.3224149004495824,11.628100000000002,9,9.194617411510947,0.0,3.0,0.0
5.82,9894,2276,2009,7,77.6,69.59,67.30000000000001,98.94,86.2,66.96666666666667,33.33333333333333,71.92000000000002,66.58662000000001,22.433333333333334,882.6889279437611,71.15764800000002,70.77666666666666,230.0384071154235,0.8314285714285715,0.882688927943761,33.872400000000006,49,9.199784858036667,1.0,3.0,2.0
4.47,9441,2423,1265,6,79.7,55.84,47.05,94.41000000000001,78.85,42.16666666666667,44.44444444444444,68.13999999999999,44.419905,20.911111111111108,522.0800660338423,64.330974,62.510185185185186,256.64654167990676,0.745,0.5220800660338424,19.9809,36,9.152923101106232,0.0,3.0,1.0
5.76,9223,2109,2590,6,69.2,76.32,66.4,92.23,94.55,86.33333333333333,44.44444444444444,87.03999999999999,61.24072000000001,29.511111111111113,1228.0701754385966,80.276992,78.49962962962962,228.66746178033176,0.96,1.2280701754385965,33.1776,36,9.129564061948894,1.0,3.0,1.0
7.37,7038,1259,2608,1,83.4,81.08,90.55,70.38,62.95,86.93333333333332,100.0,61.47999999999999,63.72909,90.55,2071.4853057982527,43.26962399999999,78.71555555555555,178.88604717249217,7.37,2.0714853057982525,54.316900000000004,1,8.85922139360813,3.0,2.0,0.0
6.73,10362,1613,2832,4,71.1,84.81,80.95,100.0,80.65,94.39999999999999,66.66666666666666,83.62,80.95,53.96666666666666,1755.7346559206449,83.62,84.38111111111111,155.66492955027988,1.6825,1.7557346559206448,45.2929,16,9.245997049184217,2.0,4.0,1.0
6.62,7863,2226,1940,1,65.9,80.99,79.3,78.63,88.7,64.66666666666666,100.0,92.97999999999999,62.35359,79.3,871.51841868823,73.11017399999999,84.0461111111111,283.0980541777947,6.62,0.87151841868823,43.824400000000004,1,8.970050661827003,2.0,3.0,0.0
6.76,6539,2008,2176,6,74.4,67.82,81.4,65.39,99.6,72.53333333333333,44.44444444444444,77.67999999999999,53.22746,36.17777777777778,1083.6653386454184,50.794951999999995,73.50796296296296,307.08059336289955,1.1266666666666667,1.0836653386454183,45.697599999999994,36,8.785692444451245,2.0,2.0,1.0
7.31,7064,1000,2182,7,55.7,63.25,89.64999999999999,70.64,50.0,72.73333333333333,33.33333333333333,88.66000000000001,63.328759999999996,29.883333333333326,2182.0,62.62942400000001,67.50277777777778,141.56285390713478,1.0442857142857143,2.182,53.436099999999996,49,8.862908295118627,3.0,2.0,2.0
5.49,14062,2497,3213,6,74.8,73.06,62.35,100.0,75.15,100.0,44.44444444444444,76.96000000000001,62.35,27.71111111111111,1286.744092911494,76.96000000000001,76.48407407407409,177.5707580713981,0.915,1.2867440929114937,30.140100000000004,36,9.551302513870247,1.0,4.0,1.0
8.06,2795,2055,500,8,53.5,51.83,99.1,27.950000000000003,97.25,16.666666666666664,22.22222222222222,84.7,27.69845,22.022222222222222,243.30900243309,23.673650000000002,57.981481481481474,735.2415026833631,1.0075,0.24330900243309003,64.96360000000001,64,7.935945103353701,3.0,1.0,2.0
7.99,9499,1672,1626,4,59.7,83.18,99.85000000000001,94.99,83.6,54.2,66.66666666666666,95.86,94.847515,66.56666666666666,972.488038277512,91.057414,82.52777777777777,176.01852826613327,1.9975,0.972488038277512,63.84010000000001,16,9.159047077588632,3.0,3.0,1.0
7.58,2963,2398,2203,4,47.8,66.9,93.7,29.630000000000003,80.1,73.43333333333332,66.66666666666666,74.44,27.76331,62.46666666666666,918.6822351959967,22.056572000000003,69.66166666666666,809.3148835639554,1.895,0.9186822351959967,57.4564,16,7.994294986415977,3.0,1.0,1.0
7.83,7675,1729,1549,5,69.9,70.38,97.45,76.75,86.45,51.63333333333333,55.55555555555556,85.77999999999999,74.79287500000001,54.13888888888889,895.8935801041064,65.83614999999999,75.60314814814814,225.2768729641694,1.566,0.8958935801041065,61.3089,25,8.94585385712759,3.0,3.0,1.0
7.44,6699,1725,2045,3,91.3,78.56,91.60000000000001,66.99000000000001,86.25,68.16666666666666,77.77777777777779,47.260000000000005,61.36284000000001,71.24444444444447,1185.5072463768115,31.65947400000001,73.0074074074074,257.5011195700851,2.48,1.1855072463768115,55.35360000000001,9,8.809862805379057,3.0,2.0,0.0
10.05,1745,2143,2124,9,70.6,61.49,69.24999999999999,17.45,92.85,70.8,11.11111111111111,84.52000000000001,12.084124999999997,7.694444444444442,991.1339244050398,14.74874,57.663518518518515,1228.0802292263609,1.1166666666666667,0.9911339244050397,101.00250000000001,81,7.465082736399547,2.0,0.0,2.0
6.87,9167,2712,1805,9,79.7,57.71,83.05,91.67,64.4,60.16666666666667,11.11111111111111,68.13999999999999,76.131935,9.227777777777778,665.5604719764011,62.46393799999999,63.08962962962963,295.8437874986364,0.7633333333333333,0.6655604719764012,47.1969,81,9.12347443895452,2.0,3.0,2.0
6.54,6860,2649,2239,5,100.2,60.25,78.1,68.60000000000001,67.55,74.63333333333333,55.55555555555556,31.239999999999995,53.5766,43.388888888888886,845.2246130615326,21.430639999999997,62.61314814814815,386.1516034985423,1.308,0.8452246130615326,42.7716,25,8.833608482690892,2.0,2.0,1.0
5.87,1702,2144,2577,8,76.8,57.42,68.05,17.02,92.8,85.9,22.22222222222222,73.36,11.58211,15.122222222222222,1201.9589552238806,12.485871999999999,59.892037037037035,1259.6944770857815,0.73375,1.2019589552238805,34.456900000000005,64,7.440146680662688,1.0,0.0,2.0
5.45,10519,2185,2058,1,62.8,86.04,61.75,100.0,90.75,68.60000000000001,100.0,98.56,61.75,61.75,941.8764302059496,98.56,86.61000000000001,207.71936495864625,5.45,0.9418764302059497,29.7025,1,9.261033486291701,1.0,4.0,0.0
5.13,12305,2317,1928,2,64.5,79.04,56.949999999999996,100.0,84.15,64.26666666666667,88.88888888888889,95.5,56.95,50.62222222222222,832.1104876996116,95.5,81.62592592592593,188.29744006501423,2.565,0.8321104876996116,26.3169,4,9.417842227300435,1.0,4.0,0.0
5.67,12470,1497,2101,3,72.0,78.42,65.05,100.0,74.85,70.03333333333333,77.77777777777779,82.0,65.05,50.59444444444444,1403.4736138944554,82.0,78.28518518518518,120.04811547714515,1.89,1.4034736138944557,32.1489,9,9.431161227920747,1.0,4.0,0.0
6.89,9077,2258,2196,4,64.4,82.04,83.35,90.77,87.1,73.2,66.66666666666666,95.67999999999999,75.65679499999999,55.56666666666665,972.5420726306465,86.84873599999999,82.79444444444445,248.76060372369724,1.7225,0.9725420726306466,47.4721,16,9.113609183016411,2.0,3.0,1.0
7.5,8138,1706,1156,3,65.3,76.98,92.5,81.38,85.3,38.53333333333334,77.77777777777779,94.06,75.2765,71.94444444444446,677.6084407971864,76.54602799999999,78.25851851851853,209.63381666257067,2.5,0.6776084407971864,56.25,9,9.004422601327041,3.0,3.0,0.0
7.08,11984,2127,2477,6,83.8,77.54,86.2,100.0,93.65,82.56666666666666,44.44444444444444,60.760000000000005,86.2,38.31111111111111,1164.5510108133521,60.76000000000001,77.93685185185186,177.48664886515354,1.18,1.164551010813352,50.126400000000004,36,9.391411146868485,3.0,4.0,1.0
5.85,13047,1909,1929,8,84.3,67.14,67.75,100.0,95.45,64.3,22.22222222222222,59.86000000000001,67.75,15.055555555555554,1010.4766893661603,59.86000000000001,68.26370370370371,146.3171610331877,0.73125,1.0104766893661603,34.2225,64,9.476390144300849,1.0,4.0,2.0
8.35,11401,2200,2957,5,52.2,88.19,94.75,100.0,90.0,98.56666666666666,55.55555555555556,82.36,94.75,52.638888888888886,1344.090909090909,82.36,86.87203703703703,192.96552933953163,1.67,1.344090909090909,69.7225,25,9.341544057591527,3.0,4.0,1.0
8.11,5175,2047,2555,5,62.2,73.86,98.35000000000001,51.74999999999999,97.65,85.16666666666667,55.55555555555556,99.64,50.896125000000005,54.63888888888889,1248.1680508060576,51.56369999999999,81.35203703703704,395.55555555555554,1.6219999999999999,1.2481680508060577,65.7721,25,8.551787836180736,3.0,2.0,1.0
6.76,8604,1000,2902,1,66.4,82.99,81.4,86.04,50.0,96.73333333333333,100.0,92.07999999999998,70.03656000000001,81.4,2902.0,79.22563199999999,84.37555555555555,116.22501162250117,6.76,2.902,45.697599999999994,1,9.06009870864564,2.0,3.0,0.0
6.02,9319,2072,1593,3,79.2,78.39,70.3,93.19,96.4,53.1,77.77777777777779,69.03999999999999,65.51257,54.677777777777784,768.8223938223938,64.33837599999998,76.63462962962963,222.341452945595,2.0066666666666664,0.7688223938223938,36.240399999999994,9,9.139917907679637,2.0,3.0,0.0
7.82,2571,2257,1977,9,85.7,54.06,97.30000000000001,25.71,87.15,65.9,11.11111111111111,57.339999999999996,25.015830000000005,10.81111111111111,875.9415152857775,14.742113999999999,57.41851851851852,877.8685336444962,0.8688888888888889,0.8759415152857776,61.15240000000001,81,7.85243908535751,3.0,1.0,2.0
7.28,9408,2178,1455,9,104.4,60.6,89.2,94.08,91.1,48.5,11.11111111111111,23.679999999999993,83.91936,9.911111111111111,668.0440771349862,22.278143999999994,59.611851851851846,231.50510204081633,0.8088888888888889,0.6680440771349863,52.998400000000004,81,9.149421957006766,3.0,3.0,2.0
4.83,14819,1959,1777,2,66.4,77.5,52.45,100.0,97.95,59.233333333333334,88.88888888888889,92.07999999999998,52.45,46.62222222222223,907.0954568657478,92.07999999999998,81.76703703703704,132.19515486874957,2.415,0.9070954568657479,23.3289,4,9.603732898850078,0.0,4.0,0.0
